sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
48000,5024,-0.240367194814,-0.235002319265,-0.197865731236,-15.8027297602,-15.8113761072,0.00536487554857,-0.00864634700973
48000,5477,-0.28429899217,-0.278841398391,-0.234234005919,-17.1806542023,-17.1917662409,0.00545759377907,-0.0111120386094
48000,5971,-0.335989944771,-0.331043285354,-0.277105099805,-18.6699393816,-18.6842013511,0.00494665941687,-0.01426196948
48000,6509,-0.396619136731,-0.39172970918,-0.327498002322,-20.2750112199,-20.2932818259,0.00488942755129,-0.0182706059576
48000,7096,-0.467714684123,-0.463628946121,-0.386738202953,-22.0050068377,-22.0283742663,0.00408573800196,-0.0233674285698
48000,7736,-0.550825673104,-0.548003241721,-0.456190540013,-23.8645140786,-23.8943370256,0.00282243138314,-0.0298229470023
48000,8434,-0.647746316198,-0.646036332714,-0.537452112798,-25.8592071144,-25.8971799948,0.00170998348414,-0.037972880335
48000,9195,-0.76037946172,-0.760704446541,-0.632245929692,-27.9925709354,-28.0407884563,-0.000324984821089,-0.0482175209345
48000,10024,-0.890695777827,-0.892566913499,-0.742394116898,-30.2656498332,-30.3266766782,-0.00187113567268,-0.0610268449489
48000,10928,-1.04102104663,-1.04468266531,-0.870070106219,-32.6821208651,-32.7591021532,-0.00366161867473,-0.07698128818
48000,11913,-1.213518241,-1.21897065903,-1.01736971776,-35.2397051124,-35.3364388702,-0.00545241803033,-0.0967337578217
48000,12988,-1.41081052772,-1.41724914465,-1.18685063068,-37.9403272618,-38.0614215961,-0.00643861692812,-0.121094334313
48000,14159,-1.63483190756,-1.64267493024,-1.38055356146,-40.7745245459,-40.9254357812,-0.0078430226794,-0.150911235342
48000,15436,-1.88801984712,-1.89862748377,-1.60102773649,-43.7389285881,-43.9261660966,-0.0106076366538,-0.187237508519
48000,16828,-2.1722998678,-2.18804883309,-1.85045281147,-46.8237667065,-47.0549959052,-0.0157489652898,-0.23122919879
48000,18346,-2.48957747681,-2.51381475141,-2.13105534957,-50.0200492393,-50.3042975504,-0.024237274603,-0.284248311018
48000,20000,-2.84103815058,-2.87721680776,-2.44447367674,-53.3133703014,-53.6611657009,-0.0361786571742,-0.347795399505
